code,risk_type
270048,中低风险
270049,中低风险
270050,中高风险
288001,中高风险
288002,中高风险
288102,中风险
290002,中高风险
290003,中风险
290004,中高风险
290005,中高风险
290006,中高风险
290007,中风险
290008,中高风险
290009,中风险
290010,高风险
290011,中高风险
290014,中高风险
291007,中风险
310308,中高风险
310318,高风险
310328,中高风险
310358,中高风险
310368,中高风险
310388,中高风险
310398,高风险
310508,中风险
310518,中高风险
320001,中高风险
320003,中高风险
320004,中风险
320005,中高风险
320006,中高风险
320007,中高风险
320008,中风险
320009,中风险
320010,高风险
320011,中高风险
320012,中高风险
320016,中高风险
320018,中高风险
320021,中风险
340001,中高风险
340006,高风险
340007,中高风险
340008,中高风险
340009,中风险
350001,中高风险
350005,中高风险
350006,中风险
350007,中高风险
350008,中高风险
350009,中高风险
360001,高风险
360005,中高风险
360006,中高风险
360007,中高风险
360008,中风险
360009,中风险
360010,中高风险
360011,中高风险
360012,中高风险
360013,中风险
360014,中风险
360016,中高风险
370021,中风险
370022,中风险
370023,高风险
370024,中高风险
370027,中高风险
371020,中低风险
371120,中低风险
372010,中风险
372110,中风险
373010,中高风险
373020,中高风险
375010,中高风险
376510,高风险
377010,中高风险
377020,中高风险
377150,中高风险
377240,中高风险
377530,中高风险
378010,中高风险
379010,中高风险
380005,中低风险
380006,中低风险
380009,中风险
395001,中风险
395011,中风险
395012,中风险
398001,中高风险
398011,中高风险
398021,中高风险
398031,中高风险
398041,中高风险
398051,中高风险
398061,中高风险
399001,高风险
399011,高风险
400001,中高风险
400003,中高风险
400007,中高风险
400009,中风险
400011,中高风险
400015,中高风险
400016,中风险
400020,中高风险
410001,中高风险
410003,中高风险
410004,中风险
410005,中风险
410006,中高风险
410007,中高风险
410008,高风险
410009,中高风险
410010,高风险
420001,中高风险
420002,中风险
420003,中高风险
420005,中高风险
420008,中风险
420009,中高风险
420102,中风险
420108,中风险
450001,中高风险
450002,中高风险
450003,中高风险
450004,中高风险
450005,中风险
450006,中风险
450007,中高风险
450008,高风险
450009,高风险
450010,中高风险
450011,中高风险
450018,中低风险
450019,中低风险
457001,高风险
460001,中高风险
460002,中高风险
460003,中风险
460005,中高风险
460007,中高风险
460008,中低风险
460009,中高风险
460108,中低风险
460220,高风险
460300,高风险
470006,中高风险
470007,高风险
470008,中高风险
470009,中高风险
470010,中风险
470011,中风险
470018,中风险
470028,中高风险
470058,中高风险
470059,中高风险
470068,高风险
470078,中风险
470098,中高风险
481001,中高风险
481004,中高风险
481006,中高风险
481008,中高风险
481009,高风险
481010,中高风险
481012,高风险
481013,中高风险
481015,中高风险
481017,中高风险
483003,中高风险
485005,中风险
485007,中风险
485011,中风险
485014,中风险
485019,中低风险
485105,中风险
485107,中风险
485111,中风险
485114,中风险
485119,中低风险
487016,中高风险
510010,
510020,
510030,
510050,
510060,
510070,
510080,中风险
510081,中高风险
510090,
510110,
510120,
510130,
510150,
510160,
510170,
510180,
510190,
510210,
510220,
510230,
510260,
510270,
510290,
510300,
510310,
510330,
510410,
510430,
510440,
510500,
510510,
510630,
510650,
510660,
510880,
511010,
511880,
512010,
518800,
518880,
519001,中高风险
519002,中高风险
519003,中高风险
519005,中高风险
519007,中高风险
519008,中高风险
519011,中高风险
519013,中高风险
519015,中高风险
519017,中高风险
519018,中高风险
519019,中高风险
519021,中高风险
519023,中风险
519024,中风险
519025,中高风险
519026,中高风险
519027,高风险
519029,中高风险
519030,中风险
519032,高风险
519033,中高风险
519034,高风险
519035,中高风险
519039,中高风险
519050,中高风险
519066,中高风险
519068,中高风险
519069,中高风险
519078,中风险
519087,中高风险
519089,中高风险
519091,中高风险
519093,中高风险
519095,中高风险
519097,中高风险
519099,中高风险
519100,高风险
519110,中高风险
519111,中风险
519112,中风险
519113,中高风险
519115,中高风险
519116,高风险
519117,高风险
519120,中高风险
519150,中高风险
519152,中低风险
519153,中低风险
519156,中高风险
519158,中高风险
519162,中风险
519163,中风险
519180,高风险
519181,中高风险
519183,中高风险
519185,中高风险
519186,中风险
519187,中风险
519188,中低风险
519189,中低风险
519300,高风险
519519,中风险
519601,高风险
519602,高风险
519660,中风险
519661,中风险
519662,中低风险
519663,中低风险
519666,中风险
519667,中风险
519668,中高风险
519669,中低风险
519670,中高风险
519671,高风险
519672,中高风险
519674,中高风险
519678,中高风险
519679,中高风险
519680,中风险
519682,中风险
519683,中风险
519685,中风险
519686,高风险
519688,中高风险
519690,中高风险
519692,中高风险
519694,中高风险
519697,中高风险
519698,中高风险
519700,中高风险
519702,中高风险
519706,高风险
519712,中高风险
519714,高风险
519718,中低风险
519720,中低风险
519723,中低风险
519725,中低风险
519726,中风险
