0,1
银河灵活配置混合C,钱睿南
南方荣安C,李璇
ETF-场内,添富中证800ETF
银华安鑫短债债券A,王树丽
信诚鼎泰多策略混合(LOF),混合型
宋海娟,中信保诚稳益A
债券指数,华夏亚债中国指数C
混合型,华安安禧混合C
陈轶平,海富通瑞祥一年定开债券
杨林耘,货币型
刘锋,混合型
长城久信债券,债券型
农银行业轮动混合,郭世凯
吴卫东,兴业量化精选混合
何谦,债券型
江勇,海富通中证100指数
南方香港成长(QDII),QDII
南方君选,混合型
吴印,中银产业精选混合
债券型,信达澳银安益纯债
定开债券,鹏华丰尚定开债A
林森,易方达瑞选灵活配置混合E
纪文静,混合型
石玉,中金浙金6个月定开债
许之彦,QDII
王靖,泰达宏利京天宝货币A
贺喆,混合型
金笑非,鹏华医药科技
代宇,广发汇瑞3个月定开债券
华富安福债券,张惠
债券型,广发聚源债券(LOF)A
魏桢,博时外服货币
货币型,任慧娟
苏秉毅,大成中证互联网金融指数分级
苏谋东,万家日日薪货币A
杨淳,江信祺福A
银华估值优势混合,张萍
长盛全债指数增强债券,债券指数
华富恒悦定期开放债券C,定开债券
招商信用定开债美元,向霈
南方希元转债,刘文良
汇添富深证300ETF,吴振翔
徐青,兴业嘉润3个月定开债
民生加银新收益债券A,李慧鹏
定开债券,招商添德3个月定开债C
薛冀颖,混合型
混合型,谢屹
博时悦楚纯债,债券型
陈凯杨,博时合惠货币A
杨靖,汇添富AAA级信用纯债A
周余,金信民发货币B
国泰金泰灵活配置混合C,李海
招商国证生物医药指数分级A,固定收益
华安沪深300增强C,许之彦
闫冬,鹏华信息分级B
红塔红土盛通混合型发起式C,混合型
范洁,前海开源裕和混合A
易方达瑞信混合E,混合型
杨锐文,景顺长城成长之星股票
申万中证申万新兴健康产业指数,荆一帆
国寿安保消费新蓝海混合,李丹
赵建忠,中银丰利混合A
广发中证1000指数C,罗国庆
华富健康文娱灵活配置混合,混合型
混合型,易方达医疗保健行业混合
胡永青,嘉实稳泰债券
华安安进灵活配置混合,混合型
货币型,长盛添利宝货币B
中金衡优灵活配置混合C,混合型
高源,申万菱信消费增长混合
前海开源1-3年国开债A,李炳智
融通证券分级A,何天翔
债券型,林忠晶
诺安灵活配置混合,张强
富国沪深300指数增强,方旻
王东杰,建信鑫泽回报灵活配置混合C
混合型,诺德量化核心C
郑猛,混合型
兰兰,中金新医药股票C
中海添顺定期开放混合,刘俊
易标普生物科技美元汇,FAN BING(范冰)
货币型,国泰现金管理货币B
孔令超,债券型
郑文旭,鑫元稳利债券
黄浩荣,债券型
长盛添利60天理财发起式B,段鹏
邹唯,汇安行业龙头混合
国融融泰灵活配置混合C,混合型
华富恒定久期国开债A,张娅
益民多利债券,郑可成
国富估值优势混合,混合型
蒋雯文,中欧琪和灵活配置混合C
易方达原油A类美元汇,成曦
王林,天弘文化新兴产业
中欧睿诚定期开放混合C,尹诚庸
博时安丰18个月定开债C,程卓
谢志华,诺安汇利灵活配置混合C
股票型,郝康
博时富腾纯债债券,黄海峰
闫沛贤,中加聚利纯债定开A
股票指数,银华中证全指医药卫生
混合型,南方绩优成长混合C
伍旋,鹏华盛世创新混合(LOF)
基金同盛,丁骏
混合型,黎晓晖
过钧,博时亚洲票息收益债券现钞
广发集瑞债券A,债券型
债券型,华夏希望债券A
银河鑫月享定开混合C,韩晶
债券型,李道滢
万家现金宝B,侯慧娣
荣膺,股票指数
蔡铮,交银中证环境治理(LOF)
浙商日添利B,货币型
神爱前,平安智能生活混合C
混合型,易方达信息产业混合
洪利平,银华货币B
李博,混合型
融通通福债券(LOF)C,黄浩荣
王少成,交银先进制造混合
长盛同禧债券C,张帆
熊侃,混合-FOF
大成月添利债券B,陶铄
王景,混合型
混合型,孙芳
长信利泰灵活配置混合,左金保
融通中国概念债券,成涛
平安创业板ETF,ETF-场内
沈潼,中融日日盈交易型货币A
徐喻军,景顺长城优质成长股票
博时裕盛纯债债券,债券型
黄婧丽,东吴增鑫宝货币A
建信货币A,彭云峰
