code,fund_type,X,Y,symbol,issuer,manager_0,manager_1,manager_2,manager_3,manager_4
160311,Hybrid,-1.8986914,-25.682219,华夏蓝筹,华夏基金管理有限公司,王怡欢,,,,
160314,Hybrid,-4.4299607,-42.234848,华夏行业,华夏基金管理有限公司,孙彬,,,,
160415,Hybrid,-17.212456,-2.1032782,华安多因子,华安基金管理有限公司,马丁,孙晨进,,,
160416,QDII,13.057778,-7.156127,华安石油,华安基金管理有限公司,倪斌,,,,
160417,Stock,-39.53932,-21.493649,华安300,华安基金管理有限公司,苏卿云,,,,
160505,Hybrid,-5.4365664,-42.00544,博时主题,博时基金管理有限公司,王俊,,,,
160512,Hybrid,-44.88194,0.28023162,博时卓越,博时基金管理有限公司,王增财,,,,
160513,Bond,-15.907261,29.865803,博时稳健A,博时基金管理有限公司,邓欣雨,,,,
160514,Bond,-16.619587,28.922682,博时稳健C,博时基金管理有限公司,邓欣雨,,,,
160515,Bond,27.109562,-39.28093,博时安丰18债A,博时基金管理有限公司,程卓,,,,
160602,Bond,-4.1367135,41.85366,鹏华债券A,鹏华基金管理有限公司,刘涛,,,,
160603,Hybrid,-32.572815,-4.3271027,鹏华收益,鹏华基金管理有限公司,陈璇淼,蒋鑫,,,
160605,Hybrid,3.1292915,-19.132683,鹏华50,鹏华基金管理有限公司,王宗合,,,,
160607,Hybrid,-32.572815,-4.3271027,鹏华价值,鹏华基金管理有限公司,谢书英,,,,
160608,Bond,-5.4890757,41.67903,鹏华债券B,鹏华基金管理有限公司,刘涛,,,,
160610,Hybrid,-32.572815,-4.3271027,鹏华动力,鹏华基金管理有限公司,张航,,,,
160611,Hybrid,-32.67163,-5.370251,鹏华治理,鹏华基金管理有限公司,陈璇淼,,,,
160612,Bond,24.986721,25.809587,鹏华丰收,鹏华基金管理有限公司,刘太阳,,,,
160613,Hybrid,-33.15515,-5.332458,鹏华创新,鹏华基金管理有限公司,伍旋,,,,
160615,Stock,-40.330666,-22.779175,鹏华300A,鹏华基金管理有限公司,张羽翔,,,,
160616,Stock,-5.823497,23.726583,鹏华500A,鹏华基金管理有限公司,张羽翔,,,,
160617,Bond,27.31485,4.4901724,鹏华丰润,鹏华基金管理有限公司,周恩源,祝松,,,
160620,Stock,1.1402366,34.16997,鹏华资源,鹏华基金管理有限公司,崔俊杰,,,,
160621,Bond,25.869595,6.0442786,鹏华丰和A,鹏华基金管理有限公司,戴钢,,,,
160706,Stock,-39.53932,-21.493649,嘉实沪深300ETF联接A,嘉实基金管理有限公司,陈正宪,何如,,,
160716,Stock,-10.1705475,29.236338,嘉实中证50A,嘉实基金管理有限公司,陈正宪,何如,,,
160717,QDII,12.174214,-12.583447,嘉实恒生H股,嘉实基金管理有限公司,高峰,何如,,,
160718,Bond,21.35738,23.41473,嘉实多利,嘉实基金管理有限公司,王茜,,,,
160719,QDII,9.747939,-6.3935175,嘉实黄金,嘉实基金管理有限公司,陈正宪,何如,,,
160720,Bond,-9.493095,32.96785,嘉实中期企债A,嘉实基金管理有限公司,崔思维,胡永青,曲扬,王亚洲,
160721,Bond,-9.493096,32.967712,嘉实中期企债C,嘉实基金管理有限公司,崔思维,胡永青,曲扬,王亚洲,
160805,Hybrid,-2.7067778,-28.612831,长盛同智,长盛基金管理有限公司,乔培涛,,,,
160806,Stock,-1.5159663,16.192823,长盛800,长盛基金管理有限公司,陈亘斯,,,,
160807,Stock,-38.41627,-21.688248,长盛300,长盛基金管理有限公司,冯雨生,,,,
160808,Stock,-4.6008487,22.625414,长盛同瑞,长盛基金管理有限公司,陈亘斯,,,,
160910,Hybrid,-14.289057,3.4204242,大成创新,大成基金管理有限公司,刘旭,,,,
160915,Bond,26.998817,5.2848225,大成景丰,大成基金管理有限公司,李富强,,,,
160916,Hybrid,-32.68735,-7.099304,大成优选,大成基金管理有限公司,戴军,,,,
161005,Hybrid,-8.991061,-2.1337023,富国天惠A,富国基金管理有限公司,朱少醒,,,,
161010,Bond,25.21747,3.9016237,富国天丰,富国基金管理有限公司,武磊,张明凯,,,
161015,Bond,27.139917,4.9703693,富国天盈,富国基金管理有限公司,俞晓斌,,,,
161017,Stock,-6.2503076,23.77111,富国500,富国基金管理有限公司,方旻,李笑薇,徐幼华,,
161019,Bond,26.477333,5.9210076,富国新天锋,富国基金管理有限公司,武磊,,,,
161022,Stock,-5.408466,-20.287466,富国创业板,富国基金管理有限公司,方旻,王保合,,,
161115,Bond,22.057848,-34.429802,易方达岁丰,易方达基金管理有限公司,胡剑,,,,
161117,Bond,24.732487,-34.773598,易方达永旭,易方达基金管理有限公司,李一硕,,,,
161118,Stock,-5.2402625,-19.433867,易方达中小,易方达基金管理有限公司,成曦,刘树荣,,,
161119,Bond,30.514664,7.582385,易方达综债A,易方达基金管理有限公司,王晓晨,,,,
161120,Bond,30.514465,7.582385,易方达综债C,易方达基金管理有限公司,王晓晨,,,,
161207,Stock,-40.393425,-22.76848,国投瑞和300,国投瑞银基金管理有限公司,殷瑞飞,,,,
161211,Stock,-37.23952,-16.170227,国投金地ETF联接,国投瑞银基金管理有限公司,赵建,,,,
161213,Stock,-0.7794694,36.583374,国投消费,国投瑞银基金管理有限公司,赵建,,,,
161216,Bond,33.97234,21.666212,国投双债A,国投瑞银基金管理有限公司,徐栋,,,,
161217,Stock,5.048464,37.117393,国投资源,国投瑞银基金管理有限公司,殷瑞飞,,,,
161219,Hybrid,1.787634,18.378853,国投产业,国投瑞银基金管理有限公司,孙文龙,,,,
161505,Bond,43.522808,14.789774,银河通利A,银河基金管理有限公司,韩晶,蒋磊,,,
161506,Bond,42.12488,13.479533,银河通利C,银河基金管理有限公司,韩晶,蒋磊,,,
161601,Hybrid,-9.100956,-2.1816747,融通新蓝筹,融通基金管理有限公司,张延闽,,,,
161603,Bond,42.77155,14.120092,融通债A/B,融通基金管理有限公司,王超,,,,
161604,Stock,-8.941606,-17.32886,融通100A/B,融通基金管理有限公司,何天翔,,,,
161605,Hybrid,-9.102045,-2.1812494,融通成长,融通基金管理有限公司,付伟琦,,,,
161606,Hybrid,-8.477735,-2.0916708,融通行业,融通基金管理有限公司,邹曦,,,,
161607,Stock,-3.8318036,-14.836683,融通巨潮A/B,融通基金管理有限公司,蔡志伟,,,,
161609,Hybrid,-17.308039,-2.5398145,融通动力,融通基金管理有限公司,朱丹,,,,
161610,Hybrid,-9.805519,-2.4290571,融通领先,融通基金管理有限公司,何龙,邹曦,,,
161611,Hybrid,-9.805387,-2.4292438,融通内需,融通基金管理有限公司,付伟琦,,,,
161612,Stock,-11.166267,-15.092741,融通深成A/B,融通基金管理有限公司,蔡志伟,,,,
161613,Stock,-5.404852,-20.282982,融通创业板A/B,融通基金管理有限公司,蔡志伟,,,,
161614,Bond,26.475126,5.0173283,融通添利,融通基金管理有限公司,王超,余志勇,,,
161616,Hybrid,-3.98285,12.091965,融通医疗,融通基金管理有限公司,蒋秀蕾,,,,
161618,Bond,23.969915,-36.933376,融通岁岁A,融通基金管理有限公司,王超,,,,
161619,Bond,23.97057,-36.93316,融通岁岁B,融通基金管理有限公司,王超,,,,
161624,Bond,-10.241782,39.411663,融通可转债A,融通基金管理有限公司,许富强,,,,
161625,Bond,-10.241782,39.41163,融通可转债C,融通基金管理有限公司,许富强,,,,
161693,Bond,42.156715,13.943834,融通债C,融通基金管理有限公司,王超,,,,
161706,Hybrid,-40.120533,-22.807768,招商成长,招商基金管理有限公司,贾成东,,,,
161713,Bond,26.18062,4.519303,招商信用,招商基金管理有限公司,向霈,,,,
161718,Stock,-38.66356,-17.115425,招商300高贝,招商基金管理有限公司,苏燕青,,,,
161810,Hybrid,-2.736129,-43.609474,银华内需,银华基金管理股份有限公司,刘辉,,,,
161812,Stock,-8.676703,-17.511862,银华100,银华基金管理股份有限公司,周毅,,,,
161813,Bond,40.009537,24.188435,银华信用,银华基金管理股份有限公司,,,,,
161816,Stock,-5.6761065,27.918798,银华90,银华基金管理股份有限公司,张凯,,,,
161818,Hybrid,-0.6790811,34.331406,银华消费,银华基金管理股份有限公司,薄官辉,,,,
161819,Stock,0.41133302,34.05401,银华资源,银华基金管理股份有限公司,马君,,,,
161820,Bond,42.635746,14.594878,银华纯债,银华基金管理股份有限公司,邹维娜,,,,
161825,Stock,-5.676105,27.918612,银华800,银华基金管理股份有限公司,,,,,
161826,Bond,-10.025845,39.526268,银华转债,银华基金管理股份有限公司,孙慧,,,,
161902,Bond,-16.38013,30.1335,万家债券,万家基金管理有限公司,苏谋东,周潜玮,,,
161903,Hybrid,-4.0125265,-42.03936,万家优选,万家基金管理有限公司,黄兴亮,,,,
161907,Stock,-0.25990885,21.714453,万家红利,万家基金管理有限公司,朱小明,,,,
161908,Bond,23.933401,25.60955,万家添利,万家基金管理有限公司,陈佳昀,,,,
161911,Bond,26.216213,-34.0795,万家强债,万家基金管理有限公司,陈奕雯,苏谋东,,,
162006,Hybrid,-33.152966,-5.330797,长城久富,长城基金管理有限公司,陈良栋,,,,
162102,Hybrid,-5.611611,31.918522,金鹰小盘,金鹰基金管理有限公司,于利强,,,,
162201,Hybrid,12.456155,-0.9611385,泰达成长,泰达宏利基金管理有限公司,周琦凯,,,,
162202,Hybrid,12.486035,-0.9991733,泰达周期,泰达宏利基金管理有限公司,赖庆鑫,,,,
162203,Hybrid,12.4655,-0.9474972,泰达稳定,泰达宏利基金管理有限公司,冀楠,庄腾飞,,,
162204,Hybrid,11.881174,1.5314844,泰达精选,泰达宏利基金管理有限公司,陈丹琳,,,,
162205,Hybrid,21.441961,-35.535015,泰达预算,泰达宏利基金管理有限公司,傅浩,刘欣,,,
162207,Hybrid,11.425014,1.726627,泰达效率,泰达宏利基金管理有限公司,吴华,,,,
162208,Stock,11.513031,0.92785156,泰达首选,泰达宏利基金管理有限公司,张勋,,,,
162209,Hybrid,-2.7242055,-32.62611,泰达市值,泰达宏利基金管理有限公司,李坤元,王鹏,,,
162210,Bond,4.1648893,-21.225979,泰达集利A,泰达宏利基金管理有限公司,丁宇佳,刘洋,,,
